type,title,description,details,price,link,title_link,image_url,image_alt,image_title,ribbon
type1,ทัวร์ภูเก็ต 1 วัน,เที่ยวภูเก็ต ทัวร์เกาะ 1 วัน,โปรแกรมทัวร์ เที่ยวภูเก็ต 1 วัน ทัวร์ตามเกาะ ดำน้ำดูปะการัง ราคาพิเศษ ถูกที่สุด,ราคาพิเศษ,tourphuket-oneday.htm,,img-tour/tour-phuket/tour-phuket-list.jpg,ทัวร์ภูเก็ต ทัวร์เกาะ 1 วัน,,ทัวร์ภูเก็ต
type1,ทัวร์ภูเก็ต ครึ่งวัน,ทัวร์ภูเก็ต เที่ยวภูเก็ต ครึ่งวัน,โปรแกรมทัวร์ภูเก็ตครึ่งวัน เที่ยวเกาะครึ่งวัน สำหรับคนมีเวลาน้อย ราคาพิเศษ,ราคาพิเศษ,tourphuket-halfday.htm,,img-tour/tour-phuket/tour-phuket-halfday-list.jpg,ทัวร์ภูเก็ต เที่ยวภูเก็ต ครึ่งวัน,,ทัวร์ภูเก็ต
type1,ทัวร์เรือยอร์ช เรือคาตามารัน,ทัวร์เรือหรู เที่ยวเกาะ 1 วัน,โปรแกรมล่องเรือหรู รูปแบบเรือยอร์ช เรือคาตามารัน แบบ 1 วัน เที่ยวตามเกาะสวย ราคาพิเศษ,ราคาพิเศษ,tourphuket-yatch-catamaran.htm,,img-tour/tour-phuket/tour-phuket-yatch-catamaran-list.jpg,ทัวร์เรือยอร์ช เรือคาตามารัน,,ทัวร์ภูเก็ต
type1,ทัวร์ภูเก็ต 2 วัน 1 คืน,,แพ็คเกจทัวร์ พร้อมที่พัก รถรับส่งสนามบิน และทริปเที่ยวเกาะสวย ทัวร์ภูเก็ต 2 วัน 1 คืน ราคาพิเศษ,ราคาพิเศษ,tourphuket-2d-1n.htm,,img-tour/tour-phuket/tour-phuket-2d1n-list.jpg,ทัวร์ภูเก็ต 2 วัน 1 คืน,,
type1,ทัวร์ภูเก็ต 3 วัน 2 คืน,,แพ็คเกจทัวร์ พร้อมที่พัก รถรับส่งสนามบิน และทริปเที่ยวเกาะสวย ทัวร์ภูเก็ต 3 วัน 2 คืน ราคาพิเศษ,ราคาพิเศษ,tourphuket-3d-2n.htm,,img-tour/tour-phuket/tour-phuket-3d2n-list.jpg,ทัวร์ภูเก็ต 3 วัน 2 คืน,,
type1,ทัวร์ภูเก็ต 4 วัน 3 คืน,,แพ็คเกจทัวร์ พร้อมที่พัก รถรับส่งสนามบิน และทริปเที่ยวเกาะสวย ทัวร์ภูเก็ต 4 วัน 3 คืน ราคาพิเศษ,ราคาพิเศษ,tourphuket-4d-3n.htm,,img-tour/tour-krabi-3d2n-list.jpg,ทัวร์ภูเก็ต 4 วัน 3 คืน,,
type2,ทัวร์เกาะสิมิลัน 1 วัน ราคาถูก,,,"2,000 บาท",tourphuket-similan-island.htm,tourphuket-similan-island.htm,img-tour/tour-best/tour-similan.jpg,ทัวร์เกาะสิมิลัน 1 วัน ราคาถูก,ทัวร์เกาะสิมิลัน 1 วัน ราคาถูก,
type2,ทัวร์เกาะสิมิลัน 1 วัน ราคาถูก,,,"1,750 บาท",tourphuket-similan-island-seastar.htm,tourphuket-similan-island-seastar.htm,img-tour/tour-similan-seastar/h-m-tour-similand-seastar.jpg,ทัวร์เกาะสิมิลัน 1 วัน ราคาถูก,ทัวร์เกาะสิมิลัน 1 วัน ราคาถูก,
type2,ทัวร์เกาะสิมิลัน 1 วัน ราคาถูก,,,"1,900 บาท",tourphuket-similan-island-loveandaman.htm,tourphuket-similan-island-loveandaman.htm,img-tour/tour-similan-loveandaman/h-m-tour-similan-loveandaman.jpg,ทัวร์เกาะสิมิลัน 1 วัน ราคาถูก,ทัวร์เกาะสิมิลัน 1 วัน ราคาถูก,
type2,ทัวร์เกาะสุรินทร์ 1 วัน ราคาถูก,,,"2,150 บาท",tourphuket-surin-island.htm,tourphuket-surin-island.htm,img-tour/tour-best/tour-surin.jpg,ทัวร์เกาะสุรินทร์ 1 วัน ราคาถูก,ทัวร์เกาะสุรินทร์ 1 วัน ราคาถูก,
type2,ทัวร์เกาะสุรินทร์ 1 วัน Seastar ราคาถูก,,,"2,150 บาท",tourphuket-surin-island-seastar.htm,tourphuket-surin-island-seastar.htm,img-tour/tour-surin-island/h-m-tour-surin-island-seastar.jpg,ทัวร์เกาะสุรินทร์ 1 วัน Seastar ราคาถูก,ทัวร์เกาะสุรินทร์ 1 วัน Seastar ราคาถูก,
type2,ทัวร์เกาะสุรินทร์ 1 วัน Loveandaman ราคาถูก,,,"2,200 บาท",tourphuket-surin-island-loveandaman.htm,tourphuket-surin-island-loveandaman.htm,img-tour/tour-surin-island/h-m-tour-surin-island-loveandaman.jpg,ทัวร์เกาะสุรินทร์ 1 วัน Loveandaman ราคาถูก,ทัวร์เกาะสุรินทร์ 1 วัน Loveandaman ราคาถูก,
type2,ทัวร์เกาะรอก 1 วัน ราคาถูก,,,"2,300 บาท",tourphuket-kohrok-island.htm,tourphuket-kohrok-island.htm,img-tour/tour-rok-island/h-m-tour-rok-island.jpg,ทัวร์เกาะรอก 1 วัน ราคาถูก,ทัวร์เกาะรอก 1 วัน ราคาถูก,
type2,ทัวร์เกาะรอก 1 วัน ราคาถูก,,,"2,250 บาท",tourphuket-kohrok-island-seastar.htm,tourphuket-kohrok-island-seastar.htm,img-tour/tour-rok-island/h-m-tour-rok-island-seastar.jpg,ทัวร์เกาะรอก 1 วัน ราคาถูก,ทัวร์เกาะรอก 1 วัน ราคาถูก,
type2,ทัวร์เกาะรอก 1 วัน ราคาถูก,,,"2,400 บาท",tourphuket-kohrok-island-loveandaman.htm,tourphuket-kohrok-island-loveandaman.htm,img-tour/tour-rok-island/h-m-tour-rok-island-loveandaman.jpg,ทัวร์เกาะรอก 1 วัน ราคาถูก,ทัวร์เกาะรอก 1 วัน ราคาถูก,
type2,ทัวร์เกาะพีพี เกาะไข่ 1 วัน ราคาถูก,,,"1,350 บาท",tourphuket-phiphi-khai-island.htm,tourphuket-phiphi-khai-island.htm,img-tour/tour-phiphi-khai/h-m-tour-phiphi-khai-island.jpg,ทัวร์เกาะพีพี เกาะไข่ 1 วัน ราคาถูก,ทัวร์เกาะพีพี เกาะไข่ 1 วัน ราคาถูก,
type2,ทัวร์เกาะพีพี เกาะไข่ 1 วัน ราคาถูก,,,"1,450 บาท",tourphuket-phiphi-khai-catamarun.htm,tourphuket-phiphi-khai-catamarun.htm,img-tour/tour-phiphi-catamarun/h-m-tour-phiphi-catamarun.jpg,ทัวร์เกาะพีพี เกาะไข่ 1 วัน ราคาถูก,ทัวร์เกาะพีพี เกาะไข่ 1 วัน ราคาถูก,
type2,ทัวร์เกาะพีพี เกาะไข่ เกาะไม้ท่อน 1 วัน ราคาถูก,,,"1,450 บาท",tourphuket-phiphi-khai-maiton.htm,tourphuket-phiphi-khai-maiton.htm,img-tour/tour-phiphi-maiton/h-m-tour-phiphi-maiton.jpg,ทัวร์เกาะพีพี เกาะไข่ เกาะไม้ท่อน 1 วัน ราคาถูก,ทัวร์เกาะพีพี เกาะไข่ เกาะไม้ท่อน 1 วัน ราคาถูก,
type2,ทัวร์เกาะพีพี วิวพอยท์ เกาะไข่ ไม้ท่อน 1 วัน ราคาถูก,,,"1,450 บาท",tourphuket-phiphiviewpoint-khai.htm,tourphuket-phiphiviewpoint-khai.htm,img-tour/tour-phiphi-viewpoint/h-m-tour-phiphi-viewpoint.jpg,ทัวร์เกาะพีพี วิวพอยท์ เกาะไข่ ไม้ท่อน 1 วัน ราคาถูก,ทัวร์เกาะพีพี วิวพอยท์ เกาะไข่ ไม้ท่อน 1 วัน ราคาถูก,
type2,ทัวร์เกาะพีพี วิวพอยท์ เกาะไข่ ไม้ท่อน 1 วัน ราคาถูก,,,"1,450 บาท",tourphuket-phiphi-sunset-khai-catamarun.htm,tourphuket-phiphi-sunset-khai-catamarun.htm,img-tour/tour-phiphi-sunset-khai-catamarun/h-m-tour-phiphi-sunset-khai-catamarun.jpg,ทัวร์เกาะพีพี วิวพอยท์ เกาะไข่ ไม้ท่อน 1 วัน ราคาถูก,ทัวร์เกาะพีพี วิวพอยท์ เกาะไข่ ไม้ท่อน 1 วัน ราคาถูก,
type2,ทัวร์เกาะพีพี เกาะไผ่(แบมบู) 1 วัน ราคาถูก,,,"1,600 บาท",tourphuket-phiphi-bamboo-speedboat.htm,tourphuket-phiphi-bamboo-speedboat.htm,img-tour/tour-phiphi-bamboo/h-m-tour-phiphi-bamboo.jpg,ทัวร์เกาะพีพี เกาะไผ่(แบมบู) 1 วัน ราคาถูก,ทัวร์เกาะพีพี เกาะไผ่(แบมบู) 1 วัน ราคาถูก,
