profileLocatorId,profile_url,services,qualifications,personal,image_filename
3654961,https://www.greataupair.com/housekeeper/Philippines-Taytay/housekeeper3654961.htm,Nanny; Babysitter; Housekeeper; Senior Caregiver,5 Years of paid experience; 11 or less years of education; Swimmer; No driver's license; References available,45-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has no visa,3654961.jpg
3640756,https://www.greataupair.com/housekeeper/Philippines-Davao+City/housekeeper3640756.htm,Au Pair; Nanny; Housekeeper,3 Years of paid experience; 12 years of education; No driver's license; References available,36-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has no visa,3640756.jpg
2922552,https://www.greataupair.com/housekeeper/Philippines-Capital/housekeeper2922552.htm,Au Pair; Nanny; Babysitter; Pet Sitter; Housekeeper; Senior Caregiver,4 Years of paid experience; 12 years of education; Infant care qualified; First-aid trained; No driver's license; References available,54-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has a visa for Israel; Married,2922552.jpg
3653573,https://www.greataupair.com/housekeeper/Philippines-Tupi/housekeeper3653573.htm,Au Pair; Nanny; Housekeeper; Senior Caregiver; Personal Assistant,<1 Years of paid experience; 13-16 years of education; No driver's license; References available,23-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has no visa; Part of a working couple,3653573.jpg
3651010,https://www.greataupair.com/housekeeper/Philippines-Antipolo/housekeeper3651010.htm,Nanny; Babysitter; Housekeeper; Senior Caregiver; Personal Assistant,10+ Years of paid experience; 13-16 years of education; Infant care qualified; First-aid trained; No driver's license; References available,43-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has no visa,3651010.jpg
3654917,https://www.greataupair.com/housekeeper/Philippines-San+Fernando/housekeeper3654917.htm,,2 Years of paid experience; 13-16 years of education; Swimmer; No driver's license; References available,27-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has no visa,3654917.jpg
3650382,https://www.greataupair.com/housekeeper/Philippines-Davao+City/housekeeper3650382.htm,,4 Years of paid experience; 13-16 years of education; First-aid trained; Swimmer; Valid driver's license; References available,36-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has no visa,3650382.jpg
3211107,https://www.greataupair.com/housekeeper/Philippines-Burgos/housekeeper3211107.htm,Au Pair; Nanny; Housekeeper; Personal Assistant,6 Years of paid experience; 17-19 years of education; Infant care qualified; No driver's license; References available,31-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has a visa for Philippines,3211107.jpg
3654475,https://www.greataupair.com/housekeeper/Philippines-Numancia/housekeeper3654475.htm,Nanny; Babysitter; Housekeeper,6 Years of paid experience; 11 or less years of education; No driver's license; References available,40-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has no visa,3654475.jpg
3654961,https://www.greataupair.com/housekeeper/Philippines-Taytay/housekeeper3654961.htm,Nanny; Babysitter; Housekeeper; Senior Caregiver,5 Years of paid experience; 11 or less years of education; Swimmer; No driver's license; References available,45-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has no visa,image/3654961.jpg
3640756,https://www.greataupair.com/housekeeper/Philippines-Davao+City/housekeeper3640756.htm,Au Pair; Nanny; Housekeeper,3 Years of paid experience; 12 years of education; No driver's license; References available,36-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has no visa,image/3640756.jpg
2922552,https://www.greataupair.com/housekeeper/Philippines-Capital/housekeeper2922552.htm,Au Pair; Nanny; Babysitter; Pet Sitter; Housekeeper; Senior Caregiver,4 Years of paid experience; 12 years of education; Infant care qualified; First-aid trained; No driver's license; References available,54-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has a visa for Israel; Married,image/2922552.jpg
3653573,https://www.greataupair.com/housekeeper/Philippines-Tupi/housekeeper3653573.htm,Au Pair; Nanny; Housekeeper; Senior Caregiver; Personal Assistant,<1 Years of paid experience; 13-16 years of education; No driver's license; References available,23-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has no visa; Part of a working couple,image/3653573.jpg
3651010,https://www.greataupair.com/housekeeper/Philippines-Antipolo/housekeeper3651010.htm,Nanny; Babysitter; Housekeeper; Senior Caregiver; Personal Assistant,10+ Years of paid experience; 13-16 years of education; Infant care qualified; First-aid trained; No driver's license; References available,43-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has no visa,image/3651010.jpg
3654917,https://www.greataupair.com/housekeeper/Philippines-San+Fernando/housekeeper3654917.htm,,2 Years of paid experience; 13-16 years of education; Swimmer; No driver's license; References available,27-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has no visa,image/3654917.jpg
3650382,https://www.greataupair.com/housekeeper/Philippines-Davao+City/housekeeper3650382.htm,,4 Years of paid experience; 13-16 years of education; First-aid trained; Swimmer; Valid driver's license; References available,36-year old female; Filipino; Living in Philippines; Has a passport for Philippines; Has no visa,image/3650382.jpg
